requirement_id,section_id,topic_id,category,requirement,basis,status,evidence_ids,figure_ids,locator,disposition_basis,reuse_basis
R1-context,1,,content,区域自然与利用背景,N1-39;N1-context,open,,,,,
R1-land-history,1,,content,土地利用历史变化或有依据的历史记载,N1-context,open,,,,,
R1-agri-history,1,,content,农业生产与设施历史变化或有依据的历史记载,N1-context,open,,,,,
R2-classification,2,,content,分类体系清单与沿革参比,N1-class,open,,,,,
R2-distribution,2,,content,土壤形成过程和类型分布,N1-39,open,,,,,
R3-types,3,,content,全部亚类及逐个土种记述,N1-type,open,,,,,
R4-properties,4,,content,适用理化属性总体及分类分区差异,N1-attr,open,,,,,
R4-history,4,,content,理化属性历史资料及可比性处理,N1-attr,open,,,,,
R5-suitability,5,,content,农业利用适宜性与利用现状匹配,N1-39,open,,,,,
R5-cropland,5,,content,耕地质量等级与主要限制和改良,N1-39,open,,,,,
R6-recommendations,6,,content,由已有结果支持的利用保护建议,N1-39,open,,,,,
R-map-type,all,,figure,土壤类型附图,N1-map,open,,,,,
R-map-properties,all,,figure,关键属性附图,N1-map,open,,,,,
R-front,all,,editorial,前言目录图表目录,N1-39;N1-format,open,,,,,
R-references,all,,editorial,参考文献与实际引用匹配,N1-format,open,,,,,
